Breed,Diversity,Marketability,Endangerment,Utility,Traits,ExSitu,InSitu,Total 
B.Galloway,14,12,25,2,4.17,1.005,2.73,51
B.White,18,14,34,2,5,0.87,4.1775,66
D.Shorthorn,3,2,30,0,0.83,0.735,3.69,34
N.d.Shorthorn,6,7,32,1,2.5,0.3225,4.4925,45
Devon,24,10,22,1,4.17,0.795,2.565,57
Dexter,22,12,12,2,4.17,0.7275,1.0275,46
Galloway,14,11,37,2,3.33,1.02,4.5375,62
Gloucester,12,10,42,4,0.83,0.1725,6.06,64
Guernsey,19,9,33,3,1.67,1.0275,3.9525,61
Highland,19,18,26,4,5,1.005,2.8125,62
I.Moiled,17,11,37,2,3.33,0.555,4.9875,65
L.Red,18,5,26,1,1.67,0.6675,3.2625,50
Longhorn,17,5,22,1,1.67,0.5475,2.7525,45
Luing,12,12,24,2,4.17,1.125,2.43,48
Red.P,19,14,35,2,5,0.7275,4.5225,68
Shetland,14,12,31,2,4.17,0.495,4.095,57
Vaynol,6,9,46,2,2.5,0.66,6.27,61
W.Park,14,9,35,2,2.5,0.5925,4.575,58
W.Shorthorn,14,12,44,2,4.17,0.645,5.8275,70
