Species ,Breed,Native,NBAR,Y0,Y1,Y2,Y3,Y4,Y5,Y6,PercentChange,Negative
Cattle,Aberdeen-Angus,1,0,"8,474","8,813","9,677","9,446","9,835",,,,0
Cattle,Aberdeen-Angus (Original Population),1,1,48,37,44,40,50,49,57,16.3,0
Cattle,Albion,0,0,11,12,2,0,7,34,49,,0
Cattle,Ancient Cattle of Wales (Coloured Welsh Cattle),0,0,21,22,32,23,28,,,,0
Cattle,Angler Rotvieh,0,0,,,,,,,,,0
Cattle,Ankole,0,0,,,,,,,,,0
Cattle,Armoricaine,0,0,,,,,,,,,0
Cattle,Aubrac,0,0,,,,,,,,,0
Cattle,Ayrshire,1,0,,,"6,566","6,415","6,960",,,,0
Cattle,Bazadaise,0,0,,159,,,,,,,0
Cattle,Beef Shorthorn,1,1,"2,181","2,073","2,393","2,405","2,661",,,10.6,0
Cattle,Belted Galloway,1,1,704,837,733,773,874,908,957,5.4,0
Cattle,Bison,0,0,,,,,,,,,0
Cattle,Brahman,0,0,,,,,,,,,0
Cattle,Bretonne Pie Noire,0,0,,,,,,,,,0
Cattle,British Blonde,0,0,983,"1,110","1,007",836,846,,,,0
Cattle,British Blue,0,0,"1,119","1,023",918,669,602,593,,,0
Cattle,British Charolais,0,0,"3,828","3,862","4,162","4,048","3,817",,,,0
Cattle,British Friesian (Original) (5),1,1,,"1,924",,,"2,114",,,,0
Cattle,British Friesian including British Friesian (Original),1,0,"2,331","2,254","2,455","2,671","3,043","3,006",,,0
Cattle,British Montbeliarde,0,0,,,425,482,453,444,,,0
Cattle,British Piemontese,0,0,33,25,43,29,53,,,,0
Cattle,British Simmental,0,0,"4,153","4,337","4,297","4,156","4,260",,,,0
Cattle,British White,1,1,424,370,372,334,382,295,295,0.0,0
Cattle,Brown Swiss,0,0,"1,200",882,394,326,431,551,,,0
Cattle,Chianina,0,0,,,,,,,,,0
Cattle,Chillingham,1,1,8,8,12,13,11,6,7,16.7,0
Cattle,Dairy Shorthorn (4),1,0,,,"2,279","2,796","2,484",,,,0
