BreedScore1,Ne,ChangeNe,GO,BP,CG,PD,A&H,GWS,HS,NEC,NSS,NMSC,GC,PBF,PBM,CPBF,AH
B.Galloway,40,74,-1,-1,100,-1,100,100,50,100,77,92,-1,41,31,84,64
B.White,15,84,100,-1,100,-1,100,100,100,79,84,66,-1,82,77,94,89
D.Shorthorn,1,20,-1,-1,-1,-1,-1,-1,50,47,84,66,-1,99,95,-1,100
N.d.Shorthorn,2,45,-1,-1,50,-1,100,-1,50,-1,27,59,-1,99,95,73,98
Devon,100,78,50,-1,50,-1,50,100,100,100,70,41,50,1,15,91,41
Dexter,49,84,100,-1,100,-1,100,100,50,100,92,3,-1,-1,-1,92,-1
Galloway,25,91,-1,-1,100,-1,100,100,-1,100,89,84,50,46,86,95,83
Gloucester,6,71,50,100,50,100,-1,-1,50,47,-1,-1,100,93,97,89,95
Guernsey,17,91,100,100,50,-1,50,-1,50,100,94,80,-1,49,90,90,92
Highland,31,100,50,100,100,-1,100,100,100,100,92,77,-1,38,62,100,38
I.Moiled,13,78,100,-1,100,-1,50,100,50,100,4,45,50,88,81,88,89
L.Red,28,76,100,-1,50,-1,50,-1,50,-1,54,23,-1,54,30,91,86
Longhorn,43,77,50,-1,50,-1,50,-1,50,100,45,2,-1,21,46,95,62
Luing,2,45,100,-1,100,-1,100,100,50,100,100,100,-1,11,3,89,84
Red.P,26,83,100,-1,100,-1,100,100,100,100,49,45,50,48,86,91,83
Shetland,5,64,100,-1,100,-1,100,100,50,79,22,32,-1,91,70,79,93
Vaynol,-1,-1,100,-1,100,-1,100,-1,50,79,49,48,100,100,100,91,100
W.Park,8,84,50,-1,100,-1,100,-1,50,100,10,48,-1,90,95,96,94
W.Shorthorn,5,85,50,-1,100,-1,100,100,50,79,16,77,100,97,68,93,95
