Breed Score,Ne,ChangeNe,GO,BP,CG,PD,AH,GWS,HS,NEC,NSS,NMSC,GC,PDF,FDM,CPDF,AH
B.Galloway,16.1,11,0,0,40,0,33.3,33.3,16.7,5,3.8,4.6,0,6.2,4.7,12.7,12.9
B.White,5.8,2.9,20,0,40,0,33.3,33.3,33.3,4,4.4,3.3,0,12.3,11.6,14.2,17.8
D.Shorthorn,0.6,13,0,0,0,0,0,0,16.7,2.3,4.2,3.3,0,14.9,14.3,0,20
N.d.Shorthorn,0.8,24.3,0,0,20,0,33.3,0,16.7,0,1.4,2.9,0,14.9,14.3,11,19.7
R.R.Devon,40,6.4,10,0,20,0,16.7,33.3,33.3,5,3.5,2.1,10,0.2,2.2,13.6,8.2
Dexter,19.6,6.7,20,0,40,0,33.3,33.3,16.7,5,4.6,0.2,0,0,0,13.7,0
Galloway,10,4.1,0,0,40,0,33.3,33.3,0,5,4.4,4.2,10,6.8,12.9,14.2,16.6
Gloucester,2.3,0,10,40,20,20,0,0,16.7,2.3,0,0,20,14,14.5,13.4,19
Guernsey,6.7,2,20,40,20,0,16.7,0,16.7,5,4.7,4,0,7.3,13.5,13.5,18.4
Highland,12.6,0,10,40,40,0,33.3,33.3,33.3,5,4.6,3.8,0,5.7,9.2,15,7.6
I.Moiled,5.3,11.6,20,0,40,0,16.7,33.3,16.7,5,0.2,2.2,10,13.2,12.2,13.3,17.8
L.Red,11.1,7,20,0,20,0,16.7,0,16.7,5,2.7,1.2,0,8.1,4.5,13.6,17.3
Longhorn,17.1,16.2,10,0,20,0,16.7,0,16.7,5,2.2,0.1,0,3.1,6.9,14.2,12.4
Luing,0.8,40,20,0,40,0,33.3,33.3,16.7,5,5,5,0,1.7,0.5,13.4,16.9
Red.P,10.5,8.4,20,0,40,0,33.3,33.3,33.3,5,2.5,2.2,10,7.2,12.9,13.7,16.6
Shetland,2.1,11.6,20,0,40,0,33.3,33.3,16.7,4,1.1,1.6,0,13.7,10.5,11.9,18.6
Vaynol,0,0.3,20,0,40,0,33.3,0,16.7,4,2.4,2.4,20,15,15,13.6,20
W.Park,3.2,8.7,10,0,40,0,33.3,0,16.7,5,0.5,2.4,0,13.5,14.3,14.4,18.9
W.Shorthorn,2.1,23.5,10,0,40,0,33.3,33.3,16.7,4,0.8,3.8,20,14.5,10.2,14,19.1
