Breed Score,Diversity,Utility,Traits,Ex-situ,In-situ
30-59,8.1,2,4.17,10.05,15.47
60-70,8.6,2,5,8.7,23.6725
30-59,4.1,-0.1,0.83,7.35,20.91
30-59,7.5,1,2.5,3.225,25.4575
30-59,16.9,1,4.17,7.95,14.535
30-59,13.9,2,4.17,7.275,5.8225
60-70,4.2,2,3.33,10.2,25.7125
60-70,3.7,4,0.83,1.725,34.34
60-70,8.6,3,1.67,10.275,22.3975
60-70,6.8,4,5,10.05,15.9375
60-70,11.1,2,3.33,5.55,28.2625
30-59,11.4,1,1.67,6.675,18.4875
30-59,13,1,1.67,5.475,15.5975
30-59,18.2,2,4.17,11.25,13.77
60-70,11.7,2,5,7.275,25.6275
30-59,10.1,2,4.17,4.95,23.205
60-70,6.1,2,2.5,6.6,35.53
30-59,6.6,2,2.5,5.925,25.925
60-70,10.7,2,4.17,6.45,33.0225
