,Diversity,Utility,Traits,Ex-situ,In-situ
B.Galloway,27,20,41.7,13.4,36.4
B.White,29,20,50,11.6,55.7
D.Shorthorn,14,-1,8.3,9.8,49.2
N.d.Shorthorn,25,10,25,4.3,59.9
R.R.Devon,56,10,41.7,10.6,34.2
Dexter,46,20,41.7,9.7,13.7
Galloway,14,20,33.3,13.6,60.5
Gloucester,12,40,8.3,2.3,80.8
Guernsey,29,30,16.7,13.7,52.7
Highland,23,40,50,13.4,37.5
I.Moiled,37,20,33.3,7.4,66.5
L.Red,38,10,16.7,8.9,43.5
Longhorn,43,10,16.7,7.3,36.7
Luing,61,20,41.7,15,32.4
Red.P,39,20,50,9.7,60.3
Shetland,34,20,41.7,6.6,54.6
Vaynol,20,20,25,8.8,83.6
W.Park,22,20,25,7.9,61
W.Shorthorn,36,20,41.7,8.6,77.7
