Breed Score,Diversity,Utility,Traits,Ex-situ,In-situ
B.Galloway,27,40,83,90,43
B.White,29,40,100,78,66
D.Shorthorn,14,-1,17,66,58
N.d.Shorthorn,25,20,50,29,70
R.R.Devon,56,20,83,70,40
Dexter,46,40,83,65,16
Galloway,14,40,67,91,71
Gloucester,12,80,17,16,95
Guernsey,29,60,33,92,62
Highland,23,80,100,90,44
I.Moiled,37,40,67,49,78
L.Red,38,20,33,59,51
Longhorn,43,20,33,49,43
Luing,61,40,83,100,38
Red.P,39,40,100,65,71
Shetland,34,40,83,44,64
Vaynol,20,40,50,58,98
W.Park,22,40,50,53,72
W.Shorthorn,36,40,83,57,91
